maand
1
12
1
2
4
4
4
4
3
4
4
5
5
5
6
6
6
6
6
7
8
8
4
8
8
8
8
9
9
9
9
9
9
10
10
11
11
11
10
11
11
1
1
2
2
3
4
4
4
4
4
5
5
5
12
5
6
3
6
3
7
7
7
7
8
8
8
8
9
9
7
9
9
9
9
9
9
9
9
9
10
10
10
10
10
10
11
11
11
12
12
12
12
1
1
2
2
2
2
2
3
3
3
3
3
3
3
4
4
5
4
5
5
5
5
5
6
6
6
6
6
6
6
