maand
12
1
3
3
3
3
3
4
3
4
4
5
5
5
6
6
6
6
6
6
3
7
7
7
7
7
8
8
8
8
1
9
9
9
9
9
9
9
9
9
10
10
10
10
10
10
5
11
11
11
11
12
12
1
1
4
1
12
2
2
3
3
3
3
4
4
4
4
5
5
5
6
6
7
8
9
9
9
9
9
9
9
9
9
9
9
9
10
9
10
10
11
11
11
11
11
11
12
12
12
12
1
1
1
1
2
2
2
3
4
5
5
6
6
6
