maand
1
2
2
3
3
3
4
4
5
5
6
6
6
6
6
10
9
9
9
10
11
11
12
12
12
1
2
8
2
2
3
3
3
4
2
6
6
6
7
8
9
9
9
9
9
8
9
10
10
3
1
2
3
3
3
4
5
